iter	Passed	Remaining
546	3244	2687
547	3250	2681
548	3256	2675
549	3263	2669
550	3269	2663
551	3274	2657
552	3286	2656
553	3293	2651
554	3299	2645
555	3305	2639
556	3309	2632
557	3314	2625
558	3318	2618
559	3323	2611
560	3328	2604
561	3332	2597
562	3337	2590
563	3341	2583
564	3346	2576
565	3350	2569
566	3355	2562
567	3359	2555
568	3364	2548
569	3368	2541
570	3373	2534
571	3378	2528
572	3382	2520
573	3387	2513
574	3391	2506
575	3396	2499
576	3400	2493
577	3406	2486
578	3410	2479
579	3415	2473
580	3419	2466
581	3424	2459
582	3428	2452
583	3433	2445
584	3437	2438
585	3441	2431
586	3446	2424
587	3450	2417
588	3455	2411
589	3460	2404
590	3464	2397
591	3469	2391
592	3474	2384
593	3478	2377
594	3483	2371
595	3487	2364
596	3492	2357
597	3496	2350
598	3500	2343
599	3505	2336
600	3509	2329
601	3514	2323
602	3520	2317
603	3525	2311
604	3530	2305
605	3536	2299
606	3541	2292
607	3546	2286
608	3551	2279
609	3556	2273
610	3561	2267
611	3566	2261
612	3572	2255
613	3577	2249
614	3582	2242
615	3588	2236
616	3592	2230
617	3597	2223
618	3602	2217
619	3606	2210
620	3611	2203
621	3615	2197
622	3620	2190
623	3624	2183
624	3628	2177
625	3633	2170
626	3637	2163
627	3641	2157
628	3646	2150
629	3650	2144
630	3655	2137
631	3659	2130
632	3663	2124
633	3668	2117
634	3672	2111
635	3677	2104
636	3681	2097
637	3686	2091
638	3690	2085
639	3695	2078
640	3699	2072
641	3704	2065
642	3708	2059
643	3712	2052
644	3718	2046
645	3723	2040
646	3727	2033
647	3732	2027
648	3737	2021
649	3742	2014
650	3746	2008
651	3750	2001
652	3755	1995
653	3759	1989
654	3764	1982
655	3768	1976
656	3773	1969
657	3777	1963
658	3782	1957
659	3787	1951
660	3791	1944
661	3796	1938
662	3801	1932
663	3805	1925
664	3810	1919
665	3814	1912
666	3819	1907
667	3824	1900
668	3828	1894
669	3833	1887
670	3837	1881
671	3841	1875
672	3846	1868
673	3850	1862
674	3855	1856
675	3859	1849
676	3863	1843
677	3874	1839
678	3881	1834
679	3888	1829
680	3896	1825
681	3902	1819
682	3908	1813
683	3914	1808
684	3920	1802
685	3926	1797
686	3932	1791
687	3937	1785
688	3944	1780
689	3949	1774
690	3955	1768
691	3963	1763
692	3969	1758
693	3974	1752
694	3992	1751
695	3997	1746
696	4007	1742
697	4015	1737
698	4019	1731
699	4024	1724
700	4028	1718
701	4033	1712
702	4037	1705
703	4042	1699
704	4046	1693
705	4051	1687
706	4056	1680
707	4060	1674
708	4065	1668
709	4069	1662
710	4073	1655
711	4078	1649
712	4082	1643
713	4087	1637
714	4091	1630
715	4096	1624
716	4100	1618
717	4105	1612
718	4110	1606
719	4115	1600
720	4119	1594
721	4124	1588
722	4129	1582
723	4134	1576
724	4138	1569
725	4143	1563
726	4147	1557
727	4152	1551
728	4157	1545
729	4161	1539
730	4165	1533
731	4171	1527
732	4175	1520
733	4179	1514
734	4184	1508
735	4189	1502
736	4193	1496
737	4198	1490
738	4202	1484
739	4207	1478
740	4213	1472
741	4217	1466
742	4221	1460
743	4226	1454
744	4230	1448
745	4236	1442
746	4241	1436
747	4245	1430
748	4250	1424
749	4255	1418
750	4259	1412
751	4264	1406
752	4268	1400
753	4273	1394
754	4277	1388
755	4281	1381
756	4286	1375
757	4290	1369
758	4294	1363
759	4299	1357
760	4303	1351
761	4308	1345
762	4312	1339
763	4316	1333
764	4321	1327
765	4325	1321
766	4330	1315
767	4334	1309
768	4339	1303
769	4343	1297
770	4348	1291
771	4353	1285
772	4357	1279
773	4362	1273
774	4367	1267
775	4371	1261
776	4376	1256
777	4380	1249
778	4385	1244
779	4389	1238
780	4394	1232
781	4398	1226
782	4403	1220
783	4407	1214
784	4412	1208
785	4417	1202
786	4422	1196
787	4426	1191
788	4432	1185
789	4436	1179
790	4441	1173
791	4445	1167
792	4450	1161
793	4454	1155
794	4459	1149
795	4464	1144
796	4469	1138
797	4474	1132
798	4478	1126
799	4483	1120
800	4488	1115
801	4492	1109
802	4497	1103
803	4501	1097
804	4506	1091
805	4510	1085
806	4515	1079
807	4520	1074
808	4524	1068
809	4529	1062
810	4533	1056
811	4537	1050
812	4542	1044
813	4546	1038
814	4551	1033
815	4555	1027
816	4560	1021
817	4564	1015
818	4568	1009
